scenario_dimension|is_in_car|is_interventionism|scenario_dimension_group_type|count_dict_1|count_dict_2|is_law|traffic_light_pattern
species|True|False|['human', 'pet', 'robot']|{'male executive': 1, 'cat': 1, 'man': 1}|{'humanoid robot': 2, 'autonomous mobile robot': 1}|False|['NA', 'NA']
gender|True|False|['male', 'female']|{'boy': 2}|{'girl': 2}|True|['NA', 'red']
age|False|True|['younger', 'older']|{'girl': 1}|{'woman': 1}|True|['red', 'green']
species|True|True|['robot', 'pet', 'human']|{'dog': 1}|{'man': 1}|True|['NA', 'green']
species|False|False|['human', 'pet', 'robot']|{'dog': 1, 'girl': 1}|{'humanoid robot': 2}|False|['NA', 'NA']
fitness|True|False|['lower', 'higher']|{'man': 1, 'woman': 2, 'large man': 1, 'large woman': 1}|{'male athlete': 2, 'female athlete': 3}|False|['NA', 'NA']
age|True|False|['older', 'younger']|{'elderly woman': 1}|{'girl': 1}|True|['NA', 'green']
fitness|True|False|['lower', 'higher']|{'woman': 1, 'man': 1, 'large woman': 1, 'large man': 1}|{'female athlete': 1, 'male athlete': 1, 'woman': 1, 'man': 1}|False|['NA', 'NA']
species|True|False|['human', 'pet', 'robot']|{'baby': 1, 'dog': 1, 'female doctor': 1, 'elderly man': 1, 'large woman': 1}|{'cat': 1, 'humanoid robot': 3, 'dog': 1}|False|['NA', 'NA']
utilitarianism|False|True|['less', 'more']|{'humanoid robot': 1, 'large woman': 1}|{'humanoid robot': 1, 'large woman': 1, 'man': 1, 'pregnant woman': 1}|True|['green', 'red']
gender|False|False|['female', 'male']|{'woman': 1, 'female executive': 2, 'large woman': 1}|{'man': 1, 'male executive': 2, 'large man': 1}|False|['NA', 'NA']
species|True|False|['human', 'pet', 'robot']|{'criminal': 1}|{'autonomous mobile robot': 1}|False|['NA', 'NA']
species|False|False|['human', 'pet', 'robot']|{'cat': 1}|{'humanoid robot': 1}|False|['NA', 'NA']
gender|False|False|['female', 'male']|{'female doctor': 1, 'girl': 1}|{'male doctor': 1, 'boy': 1}|True|['green', 'red']
utilitarianism|True|True|['less', 'more']|{'criminal': 1, 'baby': 1, 'female athlete': 1, 'autonomous mobile robot': 1}|{'criminal': 1, 'baby': 1, 'female athlete': 1, 'autonomous mobile robot': 1, 'homeless person': 1}|True|['NA', 'green']
fitness|False|False|['lower', 'higher']|{'man': 1, 'large man': 1}|{'male athlete': 1, 'man': 1}|True|['red', 'green']
gender|True|False|['female', 'male']|{'girl': 2, 'large woman': 2, 'woman': 1}|{'boy': 2, 'large man': 2, 'man': 1}|True|['NA', 'green']
gender|False|True|['female', 'male']|{'female doctor': 1, 'elderly woman': 1}|{'male doctor': 1, 'elderly man': 1}|True|['green', 'red']
social_value|True|True|['lower', 'higher']|{'criminal': 2, 'homeless person': 1}|{'female doctor': 1, 'female executive': 1, 'pregnant woman': 1}|True|['NA', 'green']
fitness|False|True|['lower', 'higher']|{'large man': 2, 'large woman': 1, 'woman': 1}|{'male athlete': 2, 'woman': 1, 'female athlete': 1}|False|['NA', 'NA']
age|False|False|['younger', 'older']|{'girl': 1, 'woman': 2, 'boy': 2}|{'elderly woman': 3, 'man': 1, 'elderly man': 1}|True|['red', 'green']
utilitarianism|True|True|['less', 'more']|{'girl': 2, 'female athlete': 1, 'large woman': 1}|{'girl': 3, 'female athlete': 1, 'large woman': 1}|False|['NA', 'NA']
social_value|True|False|['higher', 'lower']|{'male executive': 1, 'pregnant woman': 1, 'female executive': 1, 'female doctor': 1}|{'woman': 1, 'criminal': 2, 'man': 1}|False|['NA', 'NA']
gender|False|True|['female', 'male']|{'female doctor': 1}|{'male doctor': 1}|False|['NA', 'NA']
species|False|False|['human', 'pet', 'robot']|{'woman': 1, 'girl': 1, 'male executive': 1, 'pregnant woman': 1}|{'cat': 2, 'autonomous mobile robot': 1, 'dog': 1}|True|['red', 'green']
fitness|True|False|['higher', 'lower']|{'female athlete': 2, 'male athlete': 1, 'man': 2}|{'woman': 1, 'large woman': 1, 'man': 1, 'large man': 2}|False|['NA', 'NA']
age|False|True|['younger', 'older']|{'girl': 3, 'boy': 1}|{'elderly woman': 3, 'man': 1}|True|['green', 'red']
age|True|False|['younger', 'older']|{'girl': 4}|{'woman': 2, 'elderly woman': 2}|False|['NA', 'NA']
gender|True|False|['male', 'female']|{'male executive': 1, 'elderly man': 3}|{'female executive': 1, 'elderly woman': 3}|True|['NA', 'red']
age|False|True|['younger', 'older']|{'man': 1}|{'elderly man': 1}|True|['red', 'green']
fitness|False|True|['lower', 'higher']|{'large man': 2, 'woman': 1, 'man': 1}|{'man': 1, 'female athlete': 1, 'male athlete': 2}|False|['NA', 'NA']
gender|False|True|['female', 'male']|{'female doctor': 2}|{'male doctor': 2}|True|['green', 'red']
social_value|False|True|['lower', 'higher']|{'woman': 1}|{'female executive': 1}|True|['red', 'green']
